riskhater_wealth,riskhater_creturns,naive_wealth,naive_creturns,markowitzsavvy1_wealth,markowitzsavvy1_creturns,markowitzsavvy2_wealth,markowitzsavvy2_creturns,markowitzsavvy3_wealth,markowitzsavvy3_creturns
1.08837,0.0883685,3.10366,2.10366,1.44587,0.44587,3.68563,2.68563,9.3813e-09,-1
1.08852,0.0885204,3.09822,2.09822,1.45201,0.452015,3.77171,2.77171,1.1617e-08,-1
1.08867,0.0886732,3.04777,2.04777,1.45815,0.45815,3.85933,2.85933,1.43708e-08,-1
1.08882,0.0888235,3.06028,2.06028,1.46123,0.461233,3.90289,2.90289,1.6016e-08,-1
1.08898,0.0889751,3.05067,2.05067,1.46093,0.460927,3.89575,2.89575,1.56945e-08,-1
1.08912,0.0891246,3.01595,2.01595,1.45699,0.456992,3.83413,2.83413,1.31292e-08,-1
1.08927,0.0892691,2.98687,1.98687,1.47281,0.472812,4.06542,3.06542,2.12272e-08,-1
1.08941,0.0894149,3.03917,2.03917,1.46706,0.467056,3.97364,2.97364,1.62901e-08,-1
1.08956,0.0895649,3.07259,2.07259,1.46327,0.463265,3.9132,2.9132,1.37288e-08,-1
1.08971,0.0897111,3.06781,2.06781,1.47401,0.474006,4.07222,3.07222,1.94289e-08,-1
1.08986,0.0898637,3.05125,2.05125,1.47048,0.470476,4.01445,3.01445,1.65763e-08,-1
1.09001,0.0900099,3.02219,2.02219,1.46818,0.468179,3.97672,2.97672,1.49591e-08,-1
1.09015,0.0901537,3.08174,2.08174,1.47996,0.479963,4.1533,3.1533,2.17452e-08,-1
1.0903,0.0902971,3.15669,2.15669,1.47855,0.478549,4.12853,3.12853,2.03903e-08,-1
1.09044,0.0904435,3.16054,2.16054,1.48087,0.480867,4.16235,3.16235,2.20768e-08,-1
1.09059,0.0905932,3.14566,2.14566,1.48019,0.480188,4.14894,3.14894,2.13195e-08,-1
1.09074,0.0907433,3.13739,2.13739,1.48337,0.483367,4.19654,3.19654,2.38005e-08,-1
1.09089,0.0908893,3.10125,2.10125,1.4938,0.493798,4.35973,3.35973,3.32552e-08,-1
1.09103,0.0910336,3.08744,2.08744,1.4938,0.493803,4.35715,3.35715,3.30135e-08,-1
1.09118,0.0911809,3.10379,2.10379,1.4963,0.496302,4.39543,3.39543,3.59445e-08,-1
1.09133,0.0913299,3.06305,2.06305,1.50133,0.501326,4.47577,3.47577,4.26357e-08,-1
1.09148,0.0914805,3.10258,2.10258,1.49886,0.498857,4.43139,3.43139,3.82453e-08,-1
1.09163,0.0916325,3.11114,2.11114,1.50296,0.502964,4.4971,3.4971,4.4013e-08,-1
1.09179,0.0917878,3.10666,2.10666,1.50188,0.501885,4.47582,3.47582,4.18176e-08,-1
1.09195,0.0919452,3.11745,2.11745,1.49616,0.496157,4.37595,3.37595,3.21819e-08,-1
1.0921,0.0921035,3.08986,2.08986,1.49394,0.49394,4.33616,3.33616,2.91335e-08,-1
1.09226,0.092261,3.05864,2.05864,1.4963,0.496302,4.37214,3.37214,3.15765e-08,-1
1.09242,0.0924197,3.09401,2.09401,1.53642,0.536417,5.03497,4.03497,8.06948e-08,-1
1.09258,0.0925826,3.12983,2.12983,1.53748,0.537483,5.05135,4.05135,8.32808e-08,-1
1.09274,0.0927443,3.14917,2.14917,1.5373,0.537298,5.04438,4.04438,8.19854e-08,-1
1.0929,0.0929015,3.13771,2.13771,1.5279,0.527901,4.86611,3.86611,5.21298e-08,-1
1.09306,0.0930566,3.17958,2.17958,1.53259,0.532592,4.94746,3.94746,6.10061e-08,-1
1.09321,0.0932104,3.2197,2.2197,1.52592,0.525919,4.8224,3.8224,4.51032e-08,-1
1.09337,0.0933676,3.22063,2.22063,1.52413,0.524127,4.78704,3.78704,4.1648e-08,-1
1.09352,0.0935248,3.23937,2.23937,1.52197,0.521965,4.74532,3.74532,3.78659e-08,-1
1.09368,0.0936825,3.22936,2.22936,1.51506,0.51506,4.61996,3.61996,2.75447e-08,-1
1.09384,0.093844,3.25826,2.25826,1.51545,0.515455,4.62362,3.62362,2.77309e-08,-1
1.094,0.0940029,3.27338,2.27338,1.51649,0.516492,4.63844,3.63844,2.86069e-08,-1
1.09416,0.0941628,3.31414,2.31414,1.51859,0.51859,4.67175,3.67175,3.0678e-08,-1
1.09432,0.0943218,3.34561,2.34561,1.51829,0.51829,4.66333,3.66333,3.00689e-08,-1
